"(G10010) Gridded Monthly Sea Ice Extent and Concentration, 1850 Onward, Version 2  - Daily Ice Area by Region in Square Kilometers on the 15th of each month",,,,,,,,,,,,,,,,,
YYYYDDD,Northern_Hemisphere,Beaufort_Sea,Chukchi_Sea,East_Siberian_Sea,Laptev_Sea,Kara_Sea,Barents_Sea,Greenland_Sea,Baffin_Bay_Gulf_of_St._Lawrence,Canadian_Archipelago,Hudson_Bay,Central_Arctic,Bering_Sea,Baltic_Sea,Sea_of_Okhotsk,Yellow_Sea,Cook_Inlet
1852259,7364059.84,885425.37,601335.29,824966.05,561123.96,289105.55,83501.87,328003.18,78691.05,546164.09,42042.21,3123635.62,0,0,0,0,0
1852289,7375447.06,885425.37,612439.22,825249.34,561123.96,289105.55,83501.87,328003.18,78691.05,546164.09,42042.21,3123635.62,0,0,0,0,0
1852320,10660513.89,1059071.35,911518.13,1085532.35,891615.78,795997.57,334872.1,448102.08,536099.7,861481.79,426709.55,3180824.28,107391.34,0,21232.28,0,0
1852350,12605803.9,1060476.58,954301.19,1085127.33,890647.88,888318.53,504504.31,607648.59,782931.33,861789.15,1149229.9,3189450.64,286644.37,32473.97,312194.55,0,0
1853015,14460615.33,1058304.13,954143.07,1084892.65,888422.14,934198.94,782023.1,578685.43,1462137.5,857207.92,1265290.92,3194368.65,650245.5,56371.92,694224.05,0,0
1853046,15244025.21,1055852.68,956121.52,1083984.1,889564.22,931979.57,787141.67,647346.62,1806654.29,857016.73,1264313.5,3201108.15,753715.23,129808.2,878296.25,0,0
1853074,14416218.7,1052964.9,951043.63,1083471.7,882207.28,915568.25,790268.11,772766.09,1305448.94,854634.85,1245387.93,3205349.74,746198.84,78611.67,532179.2,0,51.97
1853105,14317447.8,1060365.56,957182.91,1085387.68,886019.28,919563.1,968202.04,804968.63,1220002.54,857285.74,1251196.93,3210904.96,519413.37,40396.45,536493,0,0
1853135,13532976.43,1044215.47,941296.37,1064663.3,868414.8,891150.77,707544.39,747215.4,984317,839912.41,1140168.64,3198858.06,751088.45,27292.41,326774.03,0,0
1853166,11964892.7,995006.03,855972.04,1071306,840961.58,830816.29,504761.33,604876.58,821208.93,794413.11,941567.1,3198385.39,389940.91,336.8,115275,0,0
1853196,9622446.04,921205.05,721222.6,992872.75,727720.45,626096.49,294414.93,524062.65,398174.2,667462.82,446923.68,3126656.92,106942.62,0,68625.94,0,0
1853227,8473484.07,930246.98,614941.69,979518.11,735389.39,450129.79,162824.09,393237.84,266642.09,655017.03,207699.4,3056997.42,20781.84,0,0,0,0
1853258,6954620.14,902512.61,562026.57,688589.32,481224.97,244120.23,97654.92,246799.93,109551.54,655001.02,68566.63,2888234.83,10279.85,0,0,0,0
1853288,7767137.79,858804.98,499990.68,881985.96,705782.87,467751.93,160292.98,276803.59,237225.66,666264.57,78904.83,2923957.67,5841.28,868.22,2602.88,0,0
1853319,10643655.59,1057283.67,774332.33,1084549.08,891610.18,812074.77,380034.58,482454.86,662256.72,860421.6,392128.44,3170626.85,75816.91,0,0,0,0
1853349,12743932.73,1060221.49,957486.48,1081175.73,890216.1,923835.59,548618.3,638383.18,903174.9,860330.39,1078091.7,3194473.01,398828.96,11228.61,197699.42,0,103.94
1854015,14460637.47,1058304.13,954143.07,1084892.65,888422.14,934198.94,782027.27,578685.43,1462137.5,857207.92,1265290.92,3194382.72,650249.4,56371.92,694224.05,0,0
1854046,15244023.72,1055852.68,956121.52,1083984.1,889562.73,931979.57,787141.67,647346.62,1806654.29,857016.73,1264313.5,3201108.15,753715.23,129808.2,878296.25,0,0
1854074,14459776.66,1050571.22,949292.8,1082003.04,879811.2,920086.12,708951.35,784279.26,1352625.12,852886.93,1244799.28,3207774.56,847613.12,64084.62,514854.49,0,77.95
1854105,14103895.93,1039696.04,940937.22,1085288.57,883994.13,919373.49,720065.3,761195.34,1191403.25,850762.9,1208213.16,3204471.05,781152.72,64496.98,452728.21,0,51.97
1854135,13522303.4,1040784.09,957283.36,1085862.02,886261.24,904680.56,759978.11,692447.97,1072267.52,782158.43,1154338.36,3207819.28,772912.93,0,205443.92,0,0
1854166,11978699.04,993018.13,852756.69,1069023.48,835671.98,825443.02,488123.89,629086.41,815100.57,794651.86,932778.34,3195331.29,442431.68,0,105216.09,0,0
